post_weekday,post_hour,like_count_1h_q1_in_weekday_hour,like_count_1h_q2_in_weekday_hour,like_count_1h_q3_in_weekday_hour,like_count_1h_mean_in_weekday_hour,like_count_1h_std_in_weekday_hour,like_count_2h_q1_in_weekday_hour,like_count_2h_q2_in_weekday_hour,like_count_2h_q3_in_weekday_hour,like_count_2h_mean_in_weekday_hour,like_count_2h_std_in_weekday_hour,like_count_3h_q1_in_weekday_hour,like_count_3h_q2_in_weekday_hour,like_count_3h_q3_in_weekday_hour,like_count_3h_mean_in_weekday_hour,like_count_3h_std_in_weekday_hour,like_count_4h_q1_in_weekday_hour,like_count_4h_q2_in_weekday_hour,like_count_4h_q3_in_weekday_hour,like_count_4h_mean_in_weekday_hour,like_count_4h_std_in_weekday_hour,like_count_5h_q1_in_weekday_hour,like_count_5h_q2_in_weekday_hour,like_count_5h_q3_in_weekday_hour,like_count_5h_mean_in_weekday_hour,like_count_5h_std_in_weekday_hour,like_count_6h_q1_in_weekday_hour,like_count_6h_q2_in_weekday_hour,like_count_6h_q3_in_weekday_hour,like_count_6h_mean_in_weekday_hour,like_count_6h_std_in_weekday_hour
Friday,7,1.0,3.0,9.0,7.0,11.629464495171066,3.0,6.0,17.0,14.208791208791208,20.79878013704782,5.5,14.0,31.0,22.747252747252748,28.352775057829056,11.0,22.0,43.0,33.40659340659341,36.172419825662146,16.0,29.0,52.5,44.252747252747255,45.6792180820881,20.5,35.0,60.0,54.84615384615385,56.02636741886669
Thursday,7,1.0,3.0,9.0,6.674157303370786,10.75848003891357,2.0,7.0,15.0,13.213483146067416,22.16645290344703,6.0,14.0,24.0,22.348314606741575,36.791519873840095,9.0,21.0,36.0,34.741573033707866,55.80944203470161,15.0,29.0,42.0,46.752808988764045,75.53901473875429,20.0,38.0,54.0,61.325842696629216,100.01610952979014
Monday,1,1.0,3.0,9.0,6.538461538461538,9.201962473316431,2.0,6.0,13.0,13.461538461538462,22.123869169847634,6.0,12.0,19.0,23.923076923076923,39.6035515521848,13.0,19.0,30.5,38.333333333333336,57.39857568989034,16.5,24.0,46.5,50.282051282051285,71.87304183802111,21.0,30.0,56.5,61.205128205128204,84.32336864313021
Wednesday,6,1.0,3.0,8.0,9.830508474576272,30.83949133171727,4.0,7.0,17.0,16.949152542372882,46.42362052202393,8.0,13.0,24.5,24.89830508474576,58.15428199470019,13.0,21.0,33.0,35.016949152542374,71.0176013941138,18.5,28.0,47.0,47.728813559322035,85.29640622022319,25.5,34.0,62.5,60.644067796610166,100.2075024226651
Saturday,16,1.0,3.0,8.0,8.844444444444445,18.816028973115014,2.0,6.0,15.0,14.666666666666666,27.413192919968587,3.0,9.0,24.0,19.433333333333334,33.76556653080276,4.0,9.0,25.25,22.333333333333332,36.706855741495566,5.0,11.0,26.75,24.144444444444446,37.74323694493026,6.0,11.0,28.25,25.766666666666666,39.0240634492346
Thursday,8,1.0,3.0,8.0,7.311827956989247,10.500495324366181,3.0,7.0,15.0,13.236559139784946,17.772963008984945,6.0,13.0,28.0,22.677419354838708,28.091527923805945,9.0,19.0,35.0,33.73118279569893,42.5280316213411,15.0,25.0,45.0,45.97849462365591,61.269003883200554,21.0,29.0,58.0,59.11827956989247,86.79020800587818
Thursday,2,1.0,3.0,8.0,7.03125,9.933059679835544,3.0,8.0,15.0,15.578125,23.654124569025676,5.75,13.5,29.0,30.4375,48.197633808745266,10.5,18.5,36.5,45.015625,72.66699261340179,15.0,22.0,39.5,57.703125,92.727400393466,17.5,28.0,49.0,68.90625,110.0902542793938
Tuesday,6,1.0,3.0,8.0,6.608108108108108,10.152019257362113,3.0,8.0,15.0,12.58108108108108,14.50177764895177,5.0,13.0,26.5,18.95945945945946,19.72581869001854,8.0,19.0,33.0,26.972972972972972,28.49031220731869,13.25,25.5,40.25,34.689189189189186,39.65257533679785,17.5,33.5,48.0,43.486486486486484,50.875147535915644
Monday,16,1.0,3.0,8.0,6.1692307692307695,9.814799461096415,3.0,7.0,11.0,9.876923076923077,12.662083769451828,4.0,9.0,13.0,12.23076923076923,14.645572315943765,5.0,10.0,15.0,13.584615384615384,15.661350025313418,6.0,11.0,16.0,14.476923076923077,16.700587276638366,6.0,11.0,17.0,15.492307692307692,17.592721397039355
Saturday,17,1.0,3.0,8.0,5.792207792207792,8.71075811302453,1.0,5.0,13.0,9.12987012987013,12.917094598927756,2.0,6.0,16.0,11.506493506493506,14.590573179303657,2.0,8.0,17.0,13.025974025974026,15.614579915792959,3.0,8.0,19.0,14.194805194805195,16.500429787894493,4.0,10.0,20.0,16.376623376623378,18.027054931436396
Monday,10,1.0,3.0,7.5,8.036144578313253,17.452685713465094,3.0,8.0,15.0,14.72289156626506,24.827852796077806,9.5,16.0,25.5,24.373493975903614,32.85025553725219,15.5,25.0,40.5,36.602409638554214,40.46737311471749,21.5,34.0,49.5,50.1566265060241,53.15795191592117,27.0,42.0,67.0,65.16867469879519,73.61067977875527
Sunday,16,1.0,3.0,7.25,7.940476190476191,12.134141011368033,2.0,5.5,12.25,12.142857142857142,18.144761172400216,2.75,7.0,18.25,15.154761904761905,21.024652224173575,4.0,8.5,21.0,16.904761904761905,22.55414852317148,5.0,9.0,21.0,17.904761904761905,23.27862613820641,5.0,10.5,22.25,19.035714285714285,24.2568814871914
Thursday,16,1.0,3.0,7.0,7.883116883116883,14.509501447757408,1.0,6.0,14.0,13.402597402597403,26.75879576997939,2.0,8.0,18.0,17.285714285714285,35.3642166539692,2.0,9.0,21.0,19.727272727272727,38.87687594513721,3.0,10.0,21.0,21.207792207792206,41.216162409250664,4.0,11.0,22.0,23.0,44.73518572785033
Sunday,7,1.0,3.0,7.0,7.447058823529412,11.447089339292182,4.0,7.0,18.0,13.941176470588236,18.54810537184739,8.0,12.0,26.0,22.011764705882353,26.295253110294524,11.0,20.0,33.0,32.01176470588236,36.52705915373106,18.0,25.0,42.0,44.0,53.07631522718245,22.0,30.0,57.0,57.023529411764706,83.14960362282585
Thursday,14,1.0,3.0,7.0,6.7176470588235295,9.936239305724085,3.0,8.0,16.0,14.0,18.042938204395064,5.0,13.0,29.0,22.50588235294118,28.075418637175492,6.0,16.0,34.0,28.741176470588236,37.50115964593517,8.0,18.0,37.0,32.16470588235294,42.183230435470314,9.0,19.0,40.0,34.31764705882353,45.37258763486466
Saturday,9,1.0,3.0,7.0,6.057971014492754,8.403227772656617,2.0,8.0,14.0,12.579710144927537,17.904489904442347,5.0,14.0,21.0,23.144927536231883,36.31936582851975,10.0,20.0,34.0,36.0,59.51865748011537,16.0,25.0,51.0,51.53623188405797,85.06737463192907,20.0,32.0,62.0,66.68115942028986,111.04960374874652
Wednesday,1,1.0,3.0,7.0,5.631578947368421,7.91840437332856,2.0,7.0,12.0,11.824561403508772,15.880269437055649,6.0,12.0,26.0,21.36842105263158,27.580810862256186,10.0,18.0,40.0,35.175438596491226,45.05041731494423,13.0,24.0,51.0,47.96491228070175,61.78706664027696,19.0,31.0,63.0,60.68421052631579,79.82036928869385
Monday,9,1.0,3.0,7.0,5.394366197183099,7.474678919505384,3.0,7.0,12.5,10.943661971830986,14.819762215119244,6.5,14.0,22.0,19.56338028169014,23.919945290409363,10.0,20.0,31.5,28.309859154929576,32.382354784796775,17.5,27.0,45.0,37.943661971830984,40.858601935365776,23.0,34.0,58.5,48.57746478873239,51.39195656126716
Sunday,5,1.0,3.0,7.0,4.987012987012987,5.8590764192551035,2.0,7.0,14.0,9.831168831168831,10.864479299900346,6.0,13.0,22.0,16.818181818181817,17.249505921778006,11.0,19.0,30.0,24.5974025974026,24.837503338944888,14.0,27.0,37.0,32.58441558441559,32.87470257994365,17.0,31.0,48.0,40.38961038961039,41.93860043474452
Friday,5,1.0,3.0,6.5,6.120481927710843,9.10694935717673,3.0,6.0,15.0,12.879518072289157,17.969756157229266,4.5,11.0,24.5,21.156626506024097,30.476893257467925,7.0,15.0,34.0,30.85542168674699,44.59906280600154,13.0,22.0,40.5,40.59036144578313,59.617691789082265,16.0,27.0,47.5,50.373493975903614,73.04153693708163
Tuesday,5,1.0,3.0,6.5,4.848101265822785,5.7536802215780005,3.0,7.0,13.0,9.113924050632912,8.71777927169845,6.0,14.0,23.5,16.632911392405063,14.61925075703869,9.5,21.0,33.5,25.265822784810126,22.242664512932322,13.0,27.0,39.0,34.22784810126582,31.94825518573007,19.0,33.0,50.0,42.59493670886076,40.25735129151896
Sunday,3,1.0,3.0,6.25,8.357142857142858,15.669807182695552,3.75,8.0,13.0,17.446428571428573,35.21720635394896,7.0,14.0,27.5,28.25,54.898998169365534,14.0,22.0,38.75,42.339285714285715,78.84928702870474,18.75,30.0,53.5,56.160714285714285,102.61982384877325,22.0,35.5,74.0,69.46428571428571,123.65067573769912
Wednesday,10,1.0,3.0,6.0,6.113924050632911,8.866513409759204,3.0,6.0,11.5,11.594936708860759,18.89547428336687,6.0,11.0,20.5,18.746835443037973,30.302097902506457,10.0,17.0,30.0,27.89873417721519,35.4037499595405,15.0,26.0,37.5,37.177215189873415,40.95361963705011,22.0,32.0,44.0,46.835443037974684,49.55608849750953
Saturday,3,1.0,3.0,6.0,5.926470588235294,10.586271279167983,2.75,5.0,14.0,12.411764705882353,24.09262926496472,6.75,11.0,20.75,21.470588235294116,43.48905183491083,10.0,17.0,30.0,31.955882352941178,64.73030936088675,14.0,24.0,36.5,42.088235294117645,82.98529545956303,17.75,28.0,47.25,53.455882352941174,101.88938014227489
Saturday,1,1.0,3.0,5.0,3.5185185185185186,2.9790340506016166,3.5,6.0,12.0,7.296296296296297,5.842910331299047,6.0,12.0,16.0,14.0,11.327298544123057,8.0,18.0,24.5,22.925925925925927,20.637765841228525,17.0,22.0,31.5,32.370370370370374,30.540198160845385,20.0,28.0,39.5,40.407407407407405,39.41032592067451
Monday,22,1.0,3.0,3.0,2.4,1.9198214202665533,1.0,5.0,8.5,5.0,3.779644730092272,6.0,8.0,12.0,9.2,5.226307081896903,11.0,15.0,19.5,16.0,9.40364670904705,15.5,22.0,27.5,24.733333333333334,17.127532833201077,19.0,27.0,36.5,35.733333333333334,30.915707211399067
Friday,0,1.0,2.0,10.25,6.25,8.397211316546514,3.0,10.0,20.25,17.3,27.34208246795058,5.75,15.0,31.25,30.35,50.7970937834253,11.75,22.5,46.0,45.0,72.85891196436836,19.25,30.0,58.5,60.9,100.16297246303935,28.25,37.0,66.75,74.3,122.2357945680569
Wednesday,16,1.0,2.0,8.75,6.517241379310345,8.487847616962974,2.0,4.5,12.0,10.0,12.430861425881705,3.25,6.0,16.0,12.931034482758621,14.654933986174791,4.0,7.5,19.25,14.5,15.671238601279912,5.0,9.0,21.75,15.655172413793103,16.176170175560696,6.0,10.5,22.0,16.70689655172414,16.716426022675027
Saturday,5,1.0,2.0,8.0,5.839506172839506,9.095956230825125,3.0,7.0,12.0,10.666666666666666,12.384466076500836,6.0,13.0,22.0,18.11111111111111,16.975717952416623,11.0,19.0,36.0,27.308641975308642,23.65673370063408,16.0,25.0,48.0,37.58024691358025,33.733093616481014,19.0,34.0,57.0,48.97530864197531,49.47877709398294
Monday,2,1.0,2.0,7.75,6.982758620689655,11.0191084099958,3.0,7.5,17.75,13.155172413793103,15.69646482060495,9.0,14.0,31.5,22.586206896551722,23.924614413478764,12.75,22.5,39.5,33.62068965517241,37.671166127567226,18.0,28.5,51.5,46.775862068965516,61.9014619058864,24.25,33.5,64.0,60.672413793103445,94.30324135952853
Tuesday,10,1.0,2.0,7.0,6.367647058823529,15.530330855155285,3.0,6.0,14.25,12.470588235294118,26.508500798313513,5.75,14.0,22.0,21.852941176470587,39.167556139066626,9.0,21.0,31.5,33.279411764705884,52.885075508966736,13.75,27.0,42.0,46.294117647058826,71.1859156838426,20.0,33.5,52.0,60.205882352941174,90.52492999144546
Tuesday,16,1.0,2.0,7.0,6.0,10.26861453383291,2.0,5.0,12.0,9.10958904109589,12.794922651665402,2.0,7.0,15.0,11.36986301369863,14.522498684335613,3.0,7.0,16.0,12.821917808219178,15.39421109247945,4.0,9.0,16.0,13.780821917808218,15.714684017170466,5.0,9.0,17.0,14.89041095890411,16.470985975206027
Wednesday,2,1.0,2.0,7.0,5.574074074074074,8.361190336517051,2.0,6.0,12.75,10.074074074074074,11.785587379558217,5.0,11.0,23.0,16.77777777777778,15.814570146887256,6.5,18.5,37.75,23.98148148148148,20.745075106155387,12.25,23.0,48.75,31.90740740740741,26.10303858443153,16.0,29.0,66.75,41.074074074074076,32.60214824028015
Saturday,4,1.0,2.0,7.0,4.966101694915254,6.378752720190829,2.0,5.0,12.5,10.135593220338983,12.270595111216142,4.0,10.0,22.0,17.76271186440678,21.47600022402782,7.5,15.0,36.0,28.35593220338983,33.375999384166406,13.0,23.0,54.0,40.67796610169491,50.317420263749916,15.5,28.0,67.5,54.32203389830509,71.45276729709371
Monday,0,1.0,2.0,6.0,6.78125,13.035273176047886,2.0,4.0,10.75,16.75,40.0,5.0,8.0,23.25,29.5625,71.0292704317348,8.75,15.5,35.25,46.40625,111.96596815190564,14.0,24.5,52.75,65.21875,148.85362682092074,18.75,37.0,61.5,83.1875,180.8587824617549
Thursday,3,1.0,2.0,6.0,6.402985074626866,11.060521799149932,3.0,6.0,11.0,12.940298507462687,23.690479226266177,6.0,11.0,19.5,20.01492537313433,34.155833849859306,8.0,16.0,25.5,27.507462686567163,41.968376671420025,12.0,21.0,37.0,36.208955223880594,49.84507431773363,18.0,26.0,44.5,45.23880597014925,58.8982403277399
Friday,17,1.0,2.0,6.0,4.513888888888889,6.286567516730415,2.0,4.5,10.25,7.680555555555555,9.33692712500827,3.0,6.0,13.0,10.152777777777779,13.061781387710646,3.0,7.0,15.0,11.527777777777779,15.271230635840073,4.0,8.0,16.0,13.041666666666666,17.544661320329624,5.0,9.0,17.25,15.26388888888889,20.55291559835524
Tuesday,3,1.0,2.0,5.5,7.014705882352941,11.513123786148952,2.75,6.0,11.5,14.970588235294118,26.303039145800835,5.75,11.0,21.25,24.014705882352942,40.98652587006221,9.75,17.5,32.5,34.6764705882353,57.32063293868675,15.25,24.5,41.75,46.0735294117647,71.6042849081539,19.0,30.0,51.75,58.14705882352941,86.12768457889636
Thursday,1,1.0,2.0,5.5,5.256410256410256,9.413646166233885,3.5,5.0,16.0,16.128205128205128,41.61109384412026,5.0,13.0,23.5,31.333333333333332,80.15390896772918,9.0,20.0,35.5,51.43589743589744,122.2987702463875,14.5,31.0,50.0,70.2051282051282,160.14042842179083,20.5,37.0,65.5,87.41025641025641,194.38482152525748
Sunday,1,1.0,2.0,5.5,3.15,3.0482954684803594,2.0,5.0,12.75,7.2,6.493721664240898,3.0,13.5,21.25,13.55,11.417783912549941,6.75,18.5,32.0,21.45,17.20916218640218,14.0,24.5,38.75,31.15,25.400528382403053,21.0,33.5,51.75,42.35,34.98612506935316
Thursday,23,1.0,2.0,5.0,5.117647058823529,6.537223731649932,2.0,7.0,13.0,12.0,15.431299362010966,5.0,13.0,21.0,24.058823529411764,32.41810949962091,13.0,24.0,38.0,39.35294117647059,50.550644378274974,16.0,39.0,55.0,57.23529411764706,70.50756112978655,25.0,43.0,98.0,77.94117647058823,91.29243574102628
Tuesday,0,1.0,2.0,5.0,4.172413793103448,5.825246564476547,2.0,4.0,11.0,8.931034482758621,12.822778377566893,4.0,11.0,19.0,14.793103448275861,21.562830635717347,8.0,14.0,27.0,22.103448275862068,31.341830591520754,11.0,20.0,38.0,31.75862068965517,41.79256185735669,15.0,22.0,46.0,39.96551724137931,50.35834642030248
Sunday,2,1.0,2.0,5.0,4.128205128205129,6.8984341746571936,2.0,5.0,11.0,9.538461538461538,14.633857918226834,3.0,9.0,21.5,18.28205128205128,27.862395633153188,6.0,15.0,29.0,28.974358974358974,41.625831541867804,8.0,22.0,39.5,38.743589743589745,55.06059721544979,11.0,27.0,45.5,47.666666666666664,63.95159902257222
Tuesday,23,1.0,2.0,5.0,3.8181818181818183,5.076897849562444,3.0,5.0,10.75,9.0,9.909110766889036,7.0,10.5,16.75,23.636363636363637,46.76847274917199,10.5,14.0,22.75,50.27272727272727,134.02493791337483,14.25,21.0,35.0,83.22727272727273,217.4812376840557,18.5,25.0,46.25,127.77272727272727,342.4210624110088
Saturday,2,1.0,2.0,4.0,4.902439024390244,8.263791133761732,2.0,6.0,13.0,9.560975609756097,11.44781372247078,5.0,13.0,27.0,19.073170731707318,20.1101842904316,11.0,18.0,45.0,31.658536585365855,36.462727377486154,15.0,28.0,50.0,46.8780487804878,60.43765180826899,18.0,32.0,59.0,61.829268292682926,86.8296903250911
Sunday,18,1.0,2.0,4.0,4.354838709677419,7.059501337898092,1.0,2.0,7.0,6.064516129032258,9.465500458228883,1.0,3.0,8.5,7.129032258064516,10.626200121974838,2.0,4.0,11.5,8.774193548387096,11.45341194410165,3.5,6.0,16.0,12.741935483870968,14.26409885443284,5.5,11.0,25.0,19.322580645161292,22.18766488655982
Tuesday,18,1.0,2.0,3.5,2.8461538461538463,3.2487929867021914,1.0,2.0,5.5,4.564102564102564,5.646586634488372,1.0,3.0,6.0,5.410256410256411,6.612261133753315,2.0,4.0,7.5,6.512820512820513,7.587634659766802,4.0,6.0,10.5,9.794871794871796,11.00999423294339,6.0,9.0,17.5,15.923076923076923,18.098247393171903
Wednesday,0,1.0,2.0,3.0,4.333333333333333,7.037713532441192,2.0,5.0,8.0,9.5,13.93788742537236,4.5,8.0,15.75,14.666666666666666,17.411963432888186,7.25,13.5,21.25,19.944444444444443,22.13188336852308,10.25,20.0,28.0,25.444444444444443,25.396206808526305,14.5,22.0,32.0,29.333333333333332,26.863489327031388
Friday,18,1.0,2.0,3.0,2.8095238095238093,3.590217706817528,1.0,3.0,5.75,3.857142857142857,4.21710470885364,1.0,3.0,5.75,4.261904761904762,4.558880499129432,2.0,3.0,7.0,5.095238095238095,5.030684014052668,2.0,4.5,8.0,6.642857142857143,6.551192140893058,3.0,7.0,11.0,8.357142857142858,7.54117616682531
Sunday,23,1.0,1.0,2.0,3.0,5.522680508593631,2.0,5.0,7.0,7.3076923076923075,12.243260835963428,3.0,11.0,14.0,13.384615384615385,18.808413283858112,9.0,18.0,21.0,23.076923076923077,26.81250186779026,18.0,23.0,27.0,30.0,31.667543847499974,24.0,26.0,44.0,41.84615384615385,43.15639418411087
Tuesday,17,0.75,2.0,4.25,3.25,4.5123942788346385,1.0,3.0,6.0,4.708333333333333,6.25336788691326,1.75,4.0,7.25,6.0625,7.011863048024778,2.0,5.0,9.0,7.125,7.5755064432908,2.75,6.5,11.0,8.5,8.570111347621937,3.0,9.0,15.0,11.416666666666666,10.475571041832625
Wednesday,17,0.25,2.0,5.0,4.391304347826087,6.711443828333033,1.0,4.0,7.75,6.130434782608695,8.559877194477796,2.25,4.0,8.75,7.760869565217392,10.723152071017376,2.25,5.5,9.0,8.847826086956522,11.7359228038519,4.0,7.0,11.75,9.956521739130435,12.128857272800325,4.0,9.0,15.5,12.369565217391305,13.669688601918844
Thursday,0,0.0,2.0,7.0,6.68,12.212425366540968,2.0,5.0,15.0,13.04,18.77826758072569,3.0,10.0,24.0,19.28,26.593420238848555,8.0,17.0,37.0,27.6,32.99494910841153,11.0,25.0,43.0,37.28,39.58274034643551,15.0,32.0,58.0,45.6,45.97825573029059
Tuesday,1,0.0,2.0,6.75,6.2368421052631575,11.44772893923888,2.0,4.5,11.5,11.81578947368421,24.549844787485235,3.0,10.0,17.0,20.31578947368421,39.77375561656672,9.0,14.5,27.75,30.394736842105264,55.15312319875933,13.0,19.5,36.75,38.8421052631579,64.58998596794994,16.25,23.0,41.5,47.026315789473685,72.3394725496561
Wednesday,23,0.0,2.0,5.25,3.7142857142857144,5.8101843136205025,1.0,3.0,6.75,8.642857142857142,19.664912692630782,1.25,6.0,10.25,18.785714285714285,45.95680006840634,2.5,9.5,15.75,32.857142857142854,81.18910228392929,5.25,15.5,23.75,43.785714285714285,100.52567874882561,11.0,20.5,29.25,58.42857142857143,124.3077535088523
Friday,16,0.0,2.0,4.75,6.0813953488372094,11.48729745135809,1.0,4.5,9.75,10.720930232558139,18.288955949225812,2.0,6.0,14.0,14.488372093023257,22.869833295540225,2.0,7.0,18.75,16.976744186046513,25.5683521032343,3.0,8.0,23.25,18.488372093023255,26.94733171819626,3.25,9.5,26.0,19.953488372093023,28.12196419244288
Monday,23,0.0,2.0,3.0,4.352941176470588,6.800194633892733,2.0,4.0,9.0,9.470588235294118,12.708843609170463,6.0,7.0,33.0,19.470588235294116,23.267782573385734,11.0,15.0,49.0,32.76470588235294,38.56249702068823,14.0,21.0,66.0,48.529411764705884,58.70063633285718,17.0,32.0,74.0,62.05882352941177,74.27101603943096
Sunday,17,0.0,2.0,3.0,4.109090909090909,8.213973476300023,1.0,3.0,6.0,6.618181818181818,14.219823029959514,1.0,4.0,10.0,8.781818181818181,19.948722143323245,2.0,4.0,12.0,10.6,23.382963092024134,3.0,7.0,13.0,12.854545454545455,29.25141223676419,4.0,9.0,15.0,17.618181818181817,47.254821783794526
Monday,17,0.0,2.0,3.0,2.7560975609756095,3.4262259689407384,1.0,3.0,5.0,4.585365853658536,4.9848551120172875,2.0,4.0,7.0,5.878048780487805,6.181404055516915,2.0,4.0,8.0,6.634146341463414,7.258636571564165,2.0,5.0,10.0,7.7073170731707314,8.093960410204094,3.0,6.0,13.0,9.414634146341463,9.507827327407924
Saturday,0,0.0,1.5,4.25,3.1666666666666665,4.459154400894243,0.75,3.0,9.5,7.375,9.801563761661352,1.75,6.5,19.25,12.625,15.373077822580955,3.0,13.5,28.75,21.0,23.75600610555058,5.0,26.5,44.75,31.916666666666668,33.905131927401385,9.0,34.0,57.0,45.375,47.62791700526982
Monday,18,0.0,1.5,3.25,3.0357142857142856,4.492645371477971,0.0,2.0,6.25,4.5,5.821416398857659,0.0,3.0,7.25,5.285714285714286,6.654751256486923,0.0,4.0,8.25,6.392857142857143,7.617422941857191,1.0,5.0,11.0,9.5,11.967548714010828,2.0,8.0,15.5,16.357142857142858,23.44451967188713
Sunday,0,0.0,1.0,6.0,5.117647058823529,8.985282083365387,2.0,3.0,8.0,9.0,13.374415875095254,4.0,7.0,10.0,16.176470588235293,21.93808131457047,8.0,12.0,18.0,26.0,32.8062494046485,13.0,20.0,28.0,39.588235294117645,54.92956720147335,22.0,28.0,44.0,53.294117647058826,72.90470209962656
Wednesday,22,0.0,1.0,5.0,4.0,6.013872850889571,2.0,4.0,11.0,9.307692307692308,14.138508970094259,3.0,8.0,16.0,15.615384615384615,23.375694148475613,6.0,13.0,25.0,25.307692307692307,39.075535004621955,10.0,21.0,37.0,36.84615384615385,52.971448526299135,14.0,26.0,53.0,49.53846153846154,71.51761482858073
Thursday,18,0.0,1.0,5.0,3.825,6.262986508048697,0.0,1.5,7.25,5.45,8.329588902343938,0.0,2.0,8.75,6.775,9.880017388129618,1.0,3.0,10.25,8.3,11.72811655589754,1.75,6.0,12.25,11.9,16.22091084735838,4.0,8.0,20.25,18.75,25.466670022821635
Saturday,18,0.0,1.0,4.5,2.7872340425531914,4.308415275152076,0.5,2.0,5.0,4.1063829787234045,5.949914294425452,1.0,3.0,6.0,5.0212765957446805,6.621734180127318,1.0,4.0,7.0,5.9787234042553195,7.007726672572483,2.5,5.0,10.0,7.74468085106383,7.930316307925919,3.0,7.0,13.5,9.787234042553191,9.704181461377237
Sunday,20,0.0,1.0,3.75,2.5714285714285716,4.127101529277785,0.0,1.0,4.75,3.642857142857143,6.617077473153407,0.25,2.5,8.75,6.214285714285714,10.445304955069316,1.5,5.0,12.5,11.071428571428571,18.598859707454714,4.0,9.5,18.25,19.285714285714285,31.28142376119528,7.0,14.5,35.0,31.071428571428573,47.84022170921466
Thursday,22,0.0,1.0,3.5,3.8181818181818183,7.626508792602049,1.5,3.0,7.5,7.0,10.816653826391969,3.5,10.0,12.5,11.636363636363637,12.745765785332221,9.0,15.0,21.0,18.90909090909091,16.615983542688923,15.0,26.0,34.5,27.636363636363637,19.86591416105852,20.0,33.0,48.5,36.90909090909091,23.032388262855182
Monday,19,0.0,1.0,3.0,3.2,5.392896562454479,0.0,2.0,4.0,3.68,5.74978260458602,1.0,2.0,5.0,4.48,6.117733785207285,2.0,5.0,7.0,8.2,11.184066046538412,4.0,8.0,12.0,13.52,19.02218003629798,6.0,12.0,20.0,19.8,27.667670664513846
Saturday,22,0.0,1.0,3.0,3.1818181818181817,5.306942280036251,1.5,3.0,6.0,7.0,10.449880382090505,2.5,5.0,17.0,16.818181818181817,24.65286264034334,6.0,9.0,25.0,40.09090909090909,78.95245980392826,8.0,16.0,29.5,76.27272727272727,181.1927652579379,12.0,21.0,33.5,109.18181818181819,273.94043811814936
Friday,23,0.0,1.0,3.0,2.24,3.1128764832546763,1.0,3.0,5.0,4.96,6.717390366305455,3.0,6.0,10.0,10.16,15.544774041458435,5.0,12.0,17.0,16.6,26.334388164527383,9.0,18.0,27.0,26.0,41.6293165929973,12.0,24.0,40.0,36.32,56.58306578238169
Thursday,19,0.0,1.0,2.75,2.0454545454545454,3.2874548373109715,0.0,1.5,3.0,2.772727272727273,4.1967313605416905,1.0,2.0,5.0,3.9545454545454546,6.059052831270018,2.0,2.5,7.75,6.7727272727272725,11.447319578885072,3.0,5.5,11.75,13.454545454545455,26.844751677761753,5.25,9.0,21.0,21.227272727272727,42.630116582374484
Wednesday,19,0.0,1.0,2.75,1.9285714285714286,2.921124275508838,0.25,2.0,4.0,3.2142857142857144,4.42333969596888,0.25,3.0,5.0,4.642857142857143,6.934940994226742,1.25,3.5,10.0,8.357142857142858,12.003891310462894,3.25,6.0,18.25,17.285714285714285,25.10724250836054,6.25,8.0,27.25,28.357142857142858,42.38578706423823
Friday,19,0.0,1.0,2.75,1.8846153846153846,2.6881506368047616,1.0,2.0,3.75,2.6153846153846154,2.9267992493770127,1.0,2.5,4.75,3.3461538461538463,3.4864573158701675,2.0,5.0,6.75,5.346153846153846,4.586434848047514,3.0,6.0,10.75,8.26923076923077,7.613449637622579,5.0,10.0,14.75,12.076923076923077,10.732839612788693
Tuesday,20,0.0,1.0,2.5,2.1333333333333333,3.4406533155921477,0.0,1.0,5.0,3.8666666666666667,6.220549661825561,2.0,3.0,8.5,7.0,10.650285039780458,4.5,10.0,12.0,12.466666666666667,18.5467234944869,7.0,12.0,17.0,18.933333333333334,29.92005220265372,9.5,18.0,21.0,27.6,45.6990153066781
Monday,20,0.0,1.0,2.5,1.2857142857142858,1.5898026693500449,0.0,1.0,3.0,2.142857142857143,2.7416206003901262,1.0,3.0,5.75,5.285714285714286,6.9440463866379964,2.25,7.5,12.0,10.857142857142858,12.233982576018722,4.25,10.5,20.25,16.714285714285715,17.721905486316476,12.25,15.5,35.25,27.714285714285715,29.97801392156122
Sunday,19,0.0,1.0,2.25,1.9642857142857142,2.9997795333452837,0.75,2.0,3.0,3.3214285714285716,4.730152072009802,1.0,2.5,4.25,5.392857142857143,7.82843480744341,1.75,4.5,8.25,10.107142857142858,15.288192698250372,3.75,6.0,12.0,16.107142857142858,23.82861536163841,6.75,10.5,18.25,24.214285714285715,34.73215730879312
Saturday,23,0.0,1.0,2.0,3.0,5.244044240850758,0.0,1.0,5.0,9.294117647058824,16.58977360410003,1.0,5.0,13.0,18.529411764705884,31.269229377814106,4.0,10.0,24.0,34.11764705882353,61.44396059921306,6.0,13.0,47.0,54.64705882352941,98.92164903123492,10.0,18.0,75.0,75.94117647058823,134.21599689876544
Wednesday,18,0.0,1.0,2.0,2.0,3.0,0.0,1.0,3.0,2.657142857142857,3.605085110709896,1.0,2.0,3.0,3.2285714285714286,4.130843200391233,1.0,2.0,4.5,4.085714285714285,4.642333519276882,2.0,5.0,7.5,6.6,6.2694403540460595,4.5,9.0,12.0,11.228571428571428,9.864033640649525
